# example_tube_synthetic weld window: the whole outer ring at the plate top, start = end
# Length unit: Millimeter [mm]
#
# Orientation: global orientation;x-coordinate;y-coordinate;z-coordinate
0;1;0;0
#
# order;activity;x-coordinate;y-coordinate;z-coordinate
1;true;142.5000000;100.0000000;0.0000000
2;true;142.1364066;105.5473632;0.0000000
3;true;141.0518476;110.9998094;0.0000000
4;true;139.2648801;116.2640459;0.0000000
5;true;136.8060797;121.2500000;0.0000000
6;true;133.7175170;125.8723607;0.0000000
7;true;130.0520382;130.0520382;0.0000000
8;true;125.8723607;133.7175170;0.0000000
9;true;121.2500000;136.8060797;0.0000000
10;true;116.2640459;139.2648801;0.0000000
11;true;110.9998094;141.0518476;0.0000000
12;true;105.5473632;142.1364066;0.0000000
13;true;100.0000000;142.5000000;0.0000000
14;true;94.4526368;142.1364066;0.0000000
15;true;89.0001906;141.0518476;0.0000000
16;true;83.7359541;139.2648801;0.0000000
17;true;78.7500000;136.8060797;0.0000000
18;true;74.1276393;133.7175170;0.0000000
19;true;69.9479618;130.0520382;0.0000000
20;true;66.2824830;125.8723607;0.0000000
21;true;63.1939203;121.2500000;0.0000000
22;true;60.7351199;116.2640459;0.0000000
23;true;58.9481524;110.9998094;0.0000000
24;true;57.8635934;105.5473632;0.0000000
25;true;57.5000000;100.0000000;0.0000000
26;true;57.8635934;94.4526368;0.0000000
27;true;58.9481524;89.0001906;0.0000000
28;true;60.7351199;83.7359541;0.0000000
29;true;63.1939203;78.7500000;0.0000000
30;true;66.2824830;74.1276393;0.0000000
31;true;69.9479618;69.9479618;0.0000000
32;true;74.1276393;66.2824830;0.0000000
33;true;78.7500000;63.1939203;0.0000000
34;true;83.7359541;60.7351199;0.0000000
35;true;89.0001906;58.9481524;0.0000000
36;true;94.4526368;57.8635934;0.0000000
37;true;100.0000000;57.5000000;0.0000000
38;true;105.5473632;57.8635934;0.0000000
39;true;110.9998094;58.9481524;0.0000000
40;true;116.2640459;60.7351199;0.0000000
41;true;121.2500000;63.1939203;0.0000000
42;true;125.8723607;66.2824830;0.0000000
43;true;130.0520382;69.9479618;0.0000000
44;true;133.7175170;74.1276393;0.0000000
45;true;136.8060797;78.7500000;0.0000000
46;true;139.2648801;83.7359541;0.0000000
47;true;141.0518476;89.0001906;0.0000000
48;true;142.1364066;94.4526368;0.0000000
49;true;142.5000000;100.0000000;0.0000000
